Errors for Brill Tagger 'rules.yaml'

             left context |    word/test->gold     | right context
y/NN is/VBZ regulated/VBN |    *-134/NN->-NONE-    | by/IN the/DT Commodity/NN
y/IN the/DT Commodity/NNP |    Futures/NN->NNP     | Trading/NNP Commission/NN
ng/NNP Commission/NNP ,/, |     which/IN->WDT      | *T*-218/-NONE- reports/VB
mission/NNP ,/, which/WDT |   *T*-218/NN->-NONE-   | reports/VBZ to/TO the/DT 
 which/WDT *T*-218/-NONE- |    reports/NNS->VBZ    | to/TO the/DT Agriculture/
 reports/VBZ to/TO the/DT |  Agriculture/NN->NNP   | committees/NNS in/IN both
TO the/DT Agriculture/NNP |   committees/NN->NNS   | in/IN both/DT houses/NNS 
 change-ringing/NN is/VBZ |    peculiar/NN->JJ     | to/TO the/DT English/NNS 
 peculiar/JJ to/TO the/DT |    English/NNP->NNS    | ,/, and/CC ,/, like/IN mo
d/CC ,/, like/IN most/JJS |    English/NNP->JJ     | peculiarities/NNS ,/, uni
ke/IN most/JJS English/JJ | peculiarities/NN->NNS  | ,/, unintelligible/JJ to/
/JJ peculiarities/NNS ,/, | unintelligible/NN->JJ  | to/TO the/DT rest/NN of/I
                     --/: |    Dorothy/NN->NNP     | L./NNP Sayers/NNP ,/, ``/
  --/: Dorothy/NNP L./NNP |     Sayers/NN->NNP     | ,/, ``/`` The/DT Nine/CD 
yers/NNP ,/, ``/`` The/DT |      Nine/NN->CD       | Tailors/NNP ''/''
 ,/, ``/`` The/DT Nine/CD |    Tailors/NN->NNP     | ''/''
                          |    ASLACTON/NN->NNP    | ,/, England/NNP
ll/DT scenes/NNS that/WDT |   *T*-219/NN->-NONE-   | evoke/VBP rural/JJ Englan
S that/WDT *T*-219/-NONE- |     evoke/NN->VBP      | rural/JJ England/NNP ,/, 
 *T*-219/-NONE- evoke/VBP |      rural/NN->JJ      | England/NNP ,/, this/DT i
s/VBZ one/CD of/IN the/DT |   loveliest/NN->JJS    | *T*-2/-NONE- :/: An/DT an
JS *T*-2/-NONE- :/: An/DT |     ancient/NN->JJ     | stone/NN church/NN stands
ent/JJ stone/NN church/NN |    stands/NNS->VBZ     | amid/IN the/DT fields/NNS
,/, the/DT sound/NN of/IN |     bells/NN->NNS      | cascading/VBG from/IN its
 sound/NN of/IN bells/NNS |   cascading/NN->VBG    | from/IN its/PRP$ tower/NN
$ tower/NN ,/, *-1/-NONE- |    calling/NN->VBG     | the/DT faithful/NN to/TO 
                   The/DT |  parishioners/NN->NNS  | of/IN St./NNP Michael/NNP
Michael/NNP and/CC All/DT |    Angels/NN->NNPS     | stop/VBP *-1/-NONE- to/TO
and/CC All/DT Angels/NNPS |      stop/VB->VBP      | *-1/-NONE- to/TO chat/VB 
stop/VBP *-1/-NONE- to/TO |      chat/NN->VB       | at/IN the/DT church/NN do
ers/NNS here/RB always/RB |      have/VB->VBP      | *?*/-NONE- ./.
 men/NNS and/CC women/NNS |      pull/VB->VBP      | rhythmically/RB on/IN rop
and/CC women/NNS pull/VBP |  rhythmically/NN->RB   | on/IN ropes/NNS attached/
VBP rhythmically/RB on/IN |     ropes/NN->NNS      | attached/VBN */-NONE- to/
ically/RB on/IN ropes/NNS |   attached/VBD->VBN    | */-NONE- to/TO the/DT sam
TO the/DT same/JJ five/CD |     bells/NN->NNS      | that/WDT *T*-220/-NONE- f
ive/CD bells/NNS that/WDT |   *T*-220/NN->-NONE-   | first/RB sounded/VBD here
T *T*-220/-NONE- first/RB |    sounded/NN->VBD     | here/RB in/IN 1614/CD ./.
re/EX is/VBZ also/RB a/DT |   discordant/NN->JJ    | ,/, modern/JJ note/NN in/
RB a/DT discordant/JJ ,/, |     modern/NN->JJ      | note/NN in/IN Aslacton/NN
scordant/JJ ,/, modern/JJ |      note/VBP->NN      | in/IN Aslacton/NNP ,/, th
, modern/JJ note/NN in/IN |    Aslacton/NN->NNP    | ,/, though/IN it/PRP ca/M
NN in/IN Aslacton/NNP ,/, |     though/RB->IN      | it/PRP ca/MD n't/RB be/VB
MD n't/RB be/VB heard/VBN |    *-135/NN->-NONE-    | by/IN the/DT church-goers
*-135/-NONE- by/IN the/DT |  church-goers/NN->NNS  | enjoying/VBG the/DT peal/
N the/DT church-goers/NNS |    enjoying/NN->VBG    | the/DT peal/NN of/IN bell
/VBG the/DT peal/NN of/IN |     bells/NN->NNS      | this/DT cool/JJ autumn/NN
N of/IN bells/NNS this/DT |      cool/NN->JJ       | autumn/NN evening/NN ./.
 the/DT other/JJ 6,000/CD |    churches/NN->NNS    | in/IN Britain/NNP with/IN
NP with/IN sets/NNS of/IN |     bells/NN->NNS      | ,/, St./NNP Michael/NNP o
``/`` band/NN ''/'' of/IN |    ringers/NN->NNS     | ,/, who/WP *T*-221/-NONE-
IN ringers/NNS ,/, who/WP |   *T*-221/NN->-NONE-   | would/MD herald/VB every/
P *T*-221/-NONE- would/MD |     herald/NN->VB      | every/DT Sunday/NNP morni
uld/MD herald/VB every/DT |     Sunday/NN->NNP     | morning/NN and/CC evening
ns/VBZ :/: 64-year-old/JJ |     Derek/NN->NNP      | Hammond/NNP ./.
 64-year-old/JJ Derek/NNP |    Hammond/NN->NNP     | ./.
hers/NNS here/RB today/NN |      live/NN->VBP      | elsewhere/RB ./.
                 They/PRP |     belong/VB->VBP     | to/TO a/DT group/NN of/IN
a/DT group/NN of/IN 15/CD |    ringers/NN->NNS     | --/: including/VBG two/CD
IN 15/CD ringers/NNS --/: |   including/IN->VBG    | two/CD octogenarians/NNS 
--/: including/VBG two/CD | octogenarians/NN->NNS  | and/CC four/CD youngsters
arians/NNS and/CC four/CD |   youngsters/NN->NNS   | in/IN training/NN --/: wh
N training/NN --/: who/WP |   *T*-222/NN->-NONE-   | drive/VBP every/DT Sunday
-NONE- drive/VBP every/DT |     Sunday/NN->NNP     | from/IN church/NN to/TO c
o/TO church/NN in/IN a/DT | sometimes-exhausting/NN->JJ | effort/NN */-NONE- to/TO 
ONE- to/TO keep/VB the/DT |     bells/NN->NNS      | sounding/VBG in/IN the/DT
 keep/VB the/DT bells/NNS |    sounding/NN->VBG    | in/IN the/DT many/JJ belf
/VBG in/IN the/DT many/JJ |    belfries/NN->NNS    | of/IN East/NNP Anglia/NNP
any/JJ belfries/NNS of/IN |      East/JJ->NNP      | Anglia/NNP ./.
lfries/NNS of/IN East/NNP |     Anglia/NN->NNP     | ./.
   ``/`` *-1/-NONE- To/TO |      ring/NN->VB       | for/IN even/RB one/CD ser
have/VBP *-1/-NONE- to/TO |     scrape/NN->VB      | ,/, ''/'' says/VBZ *T*-2/
/VBZ *T*-2/-NONE- Mr./NNP |    Hammond/NN->NNP     | ,/, a/DT retired/VBN wate
     ``/`` We/PRP 've/VBP |     tried/VBN->VBD     | *-1/-NONE- to/TO train/VB
ried/VBD *-1/-NONE- to/TO |      train/NN->VB      | the/DT youngsters/NNS ,/,
NE- to/TO train/VB the/DT |   youngsters/NN->NNS   | ,/, but/CC they/PRP have/
y/PRP have/VBP their/PRP$ |     discos/NN->NNS     | and/CC their/PRP$ dances/
cos/NNS and/CC their/PRP$ |     dances/NN->NNS     | ,/, and/CC they/PRP just/
, and/CC they/PRP just/RB |     drift/NN->VBP      | away/RB ./. ''/''
                  Mr./NNP |    Hammond/NN->NNP     | worries/VBZ that/IN old/J
      Mr./NNP Hammond/NNP |    worries/NNS->VBZ    | that/IN old/JJ age/NN and
P Hammond/NNP worries/VBZ |      that/WDT->IN      | old/JJ age/NN and/CC the/
NN of/IN youth/NN will/MD |    diminish/NN->VB     | the/DT ranks/NNS of/IN th
ill/MD diminish/VB the/DT |     ranks/NN->NNS      | of/IN the/DT East/JJ Angl
/NNS of/IN the/DT East/JJ |     Anglian/NN->JJ     | group/NN that/WDT *T*-223
lian/JJ group/NN that/WDT |   *T*-223/NN->-NONE-   | keeps/VBZ the/DT Aslacton
3/-NONE- keeps/VBZ the/DT |    Aslacton/NN->NNP    | bells/NNS pealing/VBG ./.
s/VBZ the/DT Aslacton/NNP |     bells/NN->NNS      | pealing/VBG ./.
DT Aslacton/NNP bells/NNS |    pealing/NN->VBG     | ./.
 According/VBG to/TO a/DT |   nationwide/NN->JJ    | survey/NN taken/VBN */-NO
land/NNP 's/POS church/NN |     bells/NN->NNS      | are/VBP no/RB longer/RBR 
urch/NN bells/NNS are/VBP |       no/DT->RB        | longer/RBR rung/VBN *-1/-
N bells/NNS are/VBP no/RB |    longer/JJR->RBR     | rung/VBN *-1/-NONE- on/IN
 are/VBP no/RB longer/RBR |      rung/NN->VBN      | *-1/-NONE- on/IN Sundays/
rung/VBN *-1/-NONE- on/IN |    Sundays/NN->NNS     | because/IN there/EX is/VB
/IN there/EX is/VBZ no/DT |       one/NN->CD       | 0/-NONE- *T*-2/-NONE- to/
-NONE- *T*-2/-NONE- to/TO |      ring/NN->VB       | them/PRP ./.
/TO see/VB why/WRB the/DT |     ancient/NN->JJ     | art/NN is/VBZ on/IN the/D
 ancient/JJ art/NN is/VBZ |       on/RP->IN        | the/DT ropes/NNS *T*-2/-N
rt/NN is/VBZ on/IN the/DT |     ropes/NN->NNS      | *T*-2/-NONE- ./.
                   The/DT |     less/JJR->RBR      | complicated/JJ version/NN
f/IN */-NONE- playing/VBG |     tunes/NN->NNS      | on/IN bells/NNS ,/, as/IN
aying/VBG tunes/NNS on/IN |     bells/NN->NNS      | ,/, as/IN do/VB *?*/-NONE
on/IN bells/NNS ,/, as/IN |       do/VBP->VB       | *?*/-NONE- the/DT carillo
N do/VB *?*/-NONE- the/DT |   carillons/NN->NNS    | of/IN continental/JJ Euro
he/DT carillons/NNS of/IN |   continental/NN->JJ   | Europe/NNP ,/, is/VBZ con
 by/IN the/DT English/NNP |    *-136/NN->-NONE-    | to/TO be/VB childish/JJ ,
 *-136/-NONE- to/TO be/VB |    childish/NN->JJ     | ,/, fit/JJ only/RB for/IN
/TO be/VB childish/JJ ,/, |       fit/NN->JJ       | only/RB for/IN foreigners
,/, fit/JJ only/RB for/IN |   foreigners/NN->NNS   | ./.
hange-ringing/NN ,/, a/DT |  mind-boggling/NN->JJ  | exercise/NN 0/-NONE- the/
,/, a/DT mind-boggling/JJ |    exercise/VB->NN     | 0/-NONE- the/DT English/N
-NONE- the/DT English/NNP |    invented/NN->VBD    | *T*-1/-NONE- 380/CD years
S ago/RB ,/, requires/VBZ |    physical/NN->JJ     | dexterity/NN --/: some/DT
dexterity/NN --/: some/DT |     bells/NN->NNS      | weigh/VBP more/JJR than/I
NN --/: some/DT bells/NNS |     weigh/NN->VBP      | more/JJR than/IN a/DT ton
me/DT bells/NNS weigh/VBP |     more/RBR->JJR      | than/IN a/DT ton/NN --/: 
                          |     Proper/NN->JJ      | English/JJ bells/NNS are/
                Proper/JJ |    English/NNP->JJ     | bells/NNS are/VBP started
     Proper/JJ English/JJ |     bells/NN->NNS      | are/VBP started/VBN *-1/-
lish/JJ bells/NNS are/VBP |    started/VBD->VBN    | *-1/-NONE- off/RP in/IN `
-NONE- off/RP in/IN ``/`` |     rounds/NN->NNS     | ,/, ''/'' from/IN the/DT 
 ,/, ''/'' from/IN the/DT | highest-pitched/NN->JJ | bell/NN to/TO the/DT lowe
t/JJS --/: a/DT simple/JJ |   descending/NN->VBG   | scale/NN using/VBG ,/, in
/VBG ,/, in/IN larger/JJR |    churches/NN->NNS    | ,/, as/RB many/JJ as/IN 1
rger/JJR churches/NNS ,/, |       as/IN->RB        | many/JJ as/IN 12/CD bells
as/RB many/JJ as/IN 12/CD |     bells/NN->NNS      | ./.
a/DT signal/NN ,/, the/DT |    ringers/NN->NNS     | begin/VBP *-1/-NONE- vary
NN ,/, the/DT ringers/NNS |     begin/VB->VBP      | *-1/-NONE- varying/VBG th
VBG the/DT order/NN in/IN |     which/IN->WDT      | the/DT bells/NNS sound/VB
NN in/IN which/WDT the/DT |     bells/NN->NNS      | sound/VBP *T*-2/-NONE- wi
hich/WDT the/DT bells/NNS |     sound/NN->VBP      | *T*-2/-NONE- without/IN *
NONE- without/IN */-NONE- |    altering/NN->VBG    | the/DT steady/JJ rhythm/N
DT variation/NN ,/, or/CC |     change/VB->NN      | ,/, can/MD occur/VB only/
e/RB ,/, the/DT rules/NNS |     state/NN->VBP      | 0/-NONE- *T*-1/-NONE- ./.
                          |    Ringers/NN->NNS     | memorize/VBP patterns/NNS
              Ringers/NNS |    memorize/NN->VBP    | patterns/NNS of/IN change
/VBN */-NONE- as/IN ``/`` |    methods/NN->NNS     | ,/, ''/'' which/WDT *T*-2
s/NNS ,/, ''/'' which/WDT |   *T*-224/NN->-NONE-   | have/VBP odd-sounding/JJ 
T *T*-224/-NONE- have/VBP |  odd-sounding/NN->JJ   | names/NNS like/IN Kent/NN
ames/NNS like/IN Kent/NNP |     Treble/NN->NNP     | Bob/NNP Major/NNP or/CC G
nt/NNP Treble/NNP Bob/NNP |     Major/NN->NNP      | or/CC Grandsire/NNP Cater
P Bob/NNP Major/NNP or/CC |   Grandsire/NN->NNP    | Caters/NNP ./.
r/NNP or/CC Grandsire/NNP |     Caters/NN->NNP     | ./.
NN ''/'' and/CC takes/VBZ |      about/IN->RB      | three/CD hours/NNS ./.
NN at/IN St./NNP Mary/NNP |     Abbot/NN->NNP      | church/NN in/IN the/DT Ke
NP church/NN in/IN the/DT |   Kensington/NN->NNP   | district/NN of/IN London/
                          |       Ten/NN->CD       | shirt-sleeved/JJ ringers/
                   Ten/CD |  shirt-sleeved/NN->JJ  | ringers/NNS stand/VBP in/
  Ten/CD shirt-sleeved/JJ |    ringers/NN->NNS     | stand/VBP in/IN a/DT circ
rt-sleeved/JJ ringers/NNS |     stand/VB->VBP      | in/IN a/DT circle/NN ,/, 
POS stance/NN ,/, each/DT |    pulling/NN->VBG     | a/DT rope/NN that/WDT *T*
VBG a/DT rope/NN that/WDT |   *T*-225/NN->-NONE-   | disappears/VBZ through/IN
N that/WDT *T*-225/-NONE- |   disappears/NN->VBZ   | through/IN a/DT small/JJ 
                    No/DT |      one/NN->PRP       | speaks/VBZ ,/, and/CC the
            No/DT one/PRP |     speaks/NN->VBZ     | ,/, and/CC the/DT snaking
aks/VBZ ,/, and/CC the/DT |    snaking/NN->VBG     | of/IN the/DT ropes/NNS se
 snaking/VBG of/IN the/DT |     ropes/NN->NNS      | seems/VBZ *-1/-NONE- to/T
NONE- to/TO make/VB as/IN |      much/RB->JJ       | sound/NN as/IN the/DT bel
/JJ sound/NN as/IN the/DT |     bells/NN->NNS      | themselves/PRP *?*/-NONE-
*?*/-NONE- ,/, *-2/-NONE- |    muffled/NN->VBN     | *-3/-NONE- by/IN the/DT c
               *-1/-NONE- |     Totally/NN->RB     | absorbed/VBN ,/, the/DT r
    *-1/-NONE- Totally/RB |    absorbed/NN->VBN    | ,/, the/DT ringers/NNS st
B absorbed/VBN ,/, the/DT |    ringers/NN->NNS     | stare/VBP straight/RB ahe
BN ,/, the/DT ringers/NNS |     stare/NN->VBP      | straight/RB ahead/RB ,/, 
/DT ringers/NNS stare/VBP |    straight/JJ->RB     | ahead/RB ,/, *-1/-NONE- u
n/NN -LRB-/-LRB- they/PRP |      call/VB->VBP      | it/PRP ``/`` rope-sight/N
 watch/VB the/DT other/JJ |     ropes/NN->NNS      | and/CC thus/RB time/VB th
other/JJ ropes/NNS and/CC |      thus/NN->RB       | time/VB their/PRP$ pulls/
 ropes/NNS and/CC thus/RB |      time/NN->VB       | their/PRP$ pulls/NNS ./.
hus/RB time/VB their/PRP$ |     pulls/NN->NNS      | ./.
                          |       Far/NN->RB       | above/RB in/IN the/DT bel
                   Far/RB |      above/IN->RB      | in/IN the/DT belfry/NN ,/
 the/DT huge/JJ bronze/NN |     bells/NN->NNS      | ,/, mounted/VBN */-NONE- 
J bronze/NN bells/NNS ,/, |    mounted/VBD->VBN    | */-NONE- on/IN wheels/NNS
ounted/VBN */-NONE- on/IN |     wheels/NN->NNS     | ,/, swing/VBP madly/RB th
ONE- on/IN wheels/NNS ,/, |     swing/VB->VBP      | madly/RB through/IN a/DT 
 wheels/NNS ,/, swing/VBP |      madly/NN->RB      | through/IN a/DT full/JJ 3
ingly/RB ,/, in/IN the/DT |    inverted/NN->JJ     | ,/, or/CC mouth-up/JJ pos
/DT inverted/JJ ,/, or/CC |    mouth-up/NN->JJ     | position/NN ./.
                          |     Skilled/NN->JJ     | ringers/NNS use/VBP their
               Skilled/JJ |    ringers/NN->NNS     | use/VBP their/PRP$ wrists
   Skilled/JJ ringers/NNS |      use/VB->VBP       | their/PRP$ wrists/NNS *-1
rs/NNS use/VBP their/PRP$ |     wrists/NN->NNS     | *-1/-NONE- to/TO advance/
ists/NNS *-1/-NONE- to/TO |     advance/NN->VB     | or/CC retard/VB the/DT ne
E- to/TO advance/VB or/CC |     retard/NN->VB      | the/DT next/JJ swing/NN ,
 retard/VB the/DT next/JJ |      swing/VB->NN      | ,/, so/RB that/IN one/CD 
e/DT next/JJ swing/NN ,/, |       so/IN->RB        | that/IN one/CD bell/NN ca
ext/JJ swing/NN ,/, so/RB |      that/DT->IN       | one/CD bell/NN can/MD swa
wing/NN ,/, so/RB that/IN |       one/NN->CD       | bell/NN can/MD swap/VB pl
/IN one/CD bell/NN can/MD |      swap/NN->VB       | places/NNS with/IN anothe
N another/DT in/IN the/DT |   following/VBG->JJ    | change/NN ./.
in/IN the/DT following/JJ |     change/VB->NN      | ./.
               In/IN a/DT |   well-known/NN->JJ    | detective-story/NN involv
N involving/VBG church/NN |     bells/NN->NNS      | ,/, English/JJ novelist/N
G church/NN bells/NNS ,/, |    English/NNP->JJ     | novelist/NN Dorothy/NNP L
/, English/JJ novelist/NN |    Dorothy/NN->NNP     | L./NNP Sayers/NNP describ
ist/NN Dorothy/NNP L./NNP |     Sayers/NN->NNP     | described/VBD ringing/VBG
thy/NNP L./NNP Sayers/NNP |   described/VBN->VBD   | ringing/VBG as/IN a/DT ``
 Sayers/NNP described/VBD |    ringing/NN->VBG     | as/IN a/DT ``/`` passion/
`` passion/NN -LCB-/-LRB- |      that/IN->DT       | -RCB-/-RRB- *T*-1/-NONE- 
 -RCB-/-RRB- *T*-1/-NONE- |     finds/NN->VBZ      | its/PRP$ satisfaction/NN 
RP$ satisfaction/NN in/IN |  mathematical/NN->JJ   | completeness/NN and/CC me
                          |    Ringers/NN->NNS     | ,/, she/PRP added/VBD 0/-
/-NONE- ,/, are/VBP ``/`` |     filled/NN->VBN     | *-1/-NONE- with/IN the/DT
*-1/-NONE- with/IN the/DT |     solemn/NN->JJ      | intoxication/NN that/WDT 
 intoxication/NN that/WDT |   *T*-226/NN->-NONE-   | comes/VBZ of/IN intricate
26/-NONE- comes/VBZ of/IN |    intricate/NN->JJ    | ritual/NN faultlessly/RB 
IN intricate/JJ ritual/NN |   faultlessly/NN->RB   | performed/VBN */-NONE- ./
``/`` Ringing/NN does/VBZ |     become/VBN->VB     | a/DT bit/NN of/IN an/DT o
' admits/VBZ *T*-1/-NONE- |   Stephanie/NN->NNP    | Pattenden/NNP ,/, master/
T*-1/-NONE- Stephanie/NNP |   Pattenden/NN->NNP    | ,/, master/NN of/IN the/D
NN at/IN St./NNP Mary/NNP |     Abbot/NN->NNP      | and/CC one/CD of/IN Engla
gland/NNP 's/POS best/JJS |     female/JJ->NN      | ringers/NNS ./.
's/POS best/JJS female/NN |    ringers/NN->NNS     | ./.
 a/DT passion/NN that/WDT |   *T*-227/NN->-NONE-   | usually/RB stays/VBZ in/I
*T*-227/-NONE- usually/RB |     stays/NN->VBZ      | in/IN the/DT tower/NN ,/,
                          |     More/JJR->RBR      | often/RB than/IN not/RB ,
ten/RB than/IN not/RB ,/, |    ringers/NN->NNS     | think/VBP of/IN the/DT ch
rch/NN as/IN something/NN |     stuck/NN->VBD      | */-NONE- on/IN the/DT bot
/PRP$ changes/NNS are/VBP |   completed/VBD->VBN   | *-137/-NONE- *T*-1/-NONE-
NNS are/VBP completed/VBN |    *-137/NN->-NONE-    | *T*-1/-NONE- ,/, and/CC a
fter/IN they/PRP have/VBP |    worked/VBD->VBN     | up/RP a/DT sweat/NN ,/, r
N up/RP a/DT sweat/NN ,/, |    ringers/NN->NNS     | often/RB skip/VBP off/RP 
 ,/, ringers/NNS often/RB |      skip/NN->VBP      | off/RP to/TO the/DT local
ers/NNS often/RB skip/VBP |       off/RB->RP       | to/TO the/DT local/JJ pub
ship/NN for/IN others/NNS |      below/IN->RB      | ./.
  This/DT does/VBZ not/RB |       sit/NN->VB       | well/RB with/IN some/DT c
B well/RB with/IN some/DT |    clerics/NN->NNS     | ./.
embership/NN of/IN the/DT |     Church/NN->NNP     | of/IN England/NNP steadil
rch/NNP of/IN England/NNP |    steadily/NN->RB     | dwindling/VBG ,/, strong-
N England/NNP steadily/RB |   dwindling/NN->VBG    | ,/, strong-willed/JJ vica
dily/RB dwindling/VBG ,/, |  strong-willed/NN->JJ  | vicars/NNS are/VBP pressi
/VBG ,/, strong-willed/JJ |     vicars/NN->NNS     | are/VBP pressing/VBG equa
led/JJ vicars/NNS are/VBP |    pressing/NN->VBG    | equally/RB strong-willed/
P pressing/VBG equally/RB |  strong-willed/NN->JJ  | and/CC often/RB non-relig
willed/JJ and/CC often/RB |  non-religious/NN->JJ  | ringers/NNS to/TO attend/
often/RB non-religious/JJ |    ringers/NN->NNS     | to/TO attend/VB services/
ious/JJ ringers/NNS to/TO |     attend/NN->VB      | services/NNS ./.
                          |       Two/NN->CD       | years/NNS ago/RB ,/, the/
ars/NNS ago/RB ,/, the/DT |      Rev./NN->NNP      | Jeremy/NNP Hummerstone/NN
go/RB ,/, the/DT Rev./NNP |     Jeremy/NN->NNP     | Hummerstone/NNP ,/, vicar
he/DT Rev./NNP Jeremy/NNP |  Hummerstone/NN->NNP   | ,/, vicar/NN of/IN Great/
ne/NNP ,/, vicar/NN of/IN |     Great/JJ->NNP      | Torrington/NNP ,/, Devon/
 vicar/NN of/IN Great/NNP |   Torrington/NN->NNP   | ,/, Devon/NNP ,/, got/VBD
at/NNP Torrington/NNP ,/, |     Devon/NN->NNP      | ,/, got/VBD so/RB fed/VBN
von/NNP ,/, got/VBD so/RB |      fed/VBD->VBN      | up/RP with/IN ringers/NNS
/RB fed/VBN up/RP with/IN |    ringers/NN->NNS     | who/WP *T*-228/-NONE- did
ith/IN ringers/NNS who/WP |   *T*-228/NN->-NONE-   | did/VBD n't/RB attend/VB 
228/-NONE- did/VBD n't/RB |     attend/NN->VB      | service/NN 0/-NONE- he/PR
ervice/NN 0/-NONE- he/PRP |     sacked/NN->VBD     | the/DT entire/JJ band/NN 
ire/JJ band/NN ;/: the/DT |    ringers/NN->NNS     | promptly/RB set/VBN up/RP
NN ;/: the/DT ringers/NNS |    promptly/NN->RB     | set/VBN up/RP a/DT picket
`` They/PRP were/VBD a/DT | self-perpetuating/NN->JJ | club/NN that/WDT *T*-229/
